additional_bank_names,amendment_chain,amendment_indicator,amendment_version,bank_depository_city,bank_depository_name,bank_depository_state,bank_depository_street_1,bank_depository_street_2,bank_depository_zip,beginning_image_number,candidate_id,candidate_name,cash_on_hand_beginning_period,cash_on_hand_end_period,committee_id,committee_name,committee_type,coverage_end_date,coverage_start_date,csv_url,cycle,debts_owed_by_committee,debts_owed_to_committee,document_description,document_type,document_type_full,election_year,ending_image_number,fec_file_id,fec_url,file_number,form_category,form_type,house_personal_funds,html_url,is_amended,means_filed,most_recent,most_recent_file_number,net_donations,office,opposition_personal_funds,pages,party,pdf_url,previous_file_number,primary_general_indicator,receipt_date,report_type,report_type_full,report_year,request_type,senate_personal_funds,state,sub_id,total_communication_cost,total_disbursements,total_independent_expenditures,total_individual_contributions,total_receipts,treasurer_name,update_date
,[1818187],N,0.0,,,,,,,202409219684674149,,,,,C00489799,PLANNED PARENTHOOD VOTES,O,,,https://docquery.fec.gov/csv/187/1818187.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409219684674151,FEC-1818187,https://docquery.fec.gov/dcdev/posted/1818187.fec,1818187.0,NOTICE,F24,,https://docquery.fec.gov/cgi-bin/forms/C00489799/1818187/,False,e-file,True,1818187.0,,,,3.0,,https://docquery.fec.gov/pdf/149/202409219684674149/202409219684674149.pdf,1818187.0,,2024-09-21T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092120242041245022,,,,,,"LOUIE, MAGGIE",2024-09-21
,"[1815719, 1818196]",A,1.0,ROCKVILLE,JP MORGAN CHASE,MD,12097 ROCKVILLE PIKE,,20852,202409219684674179,,,,,C00889188,COMMON SENSE MARYLAND,O,,,https://docquery.fec.gov/csv/196/1818196.csv,2024,,,Statement of Organization 2024,,,,202409219684674182,FEC-1818196,https://docquery.fec.gov/dcdev/posted/1818196.fec,1818196.0,STATEMENT,F1,,https://docquery.fec.gov/cgi-bin/forms/C00889188/1818196/,False,e-file,True,1818196.0,,,,4.0,,https://docquery.fec.gov/pdf/179/202409219684674179/202409219684674179.pdf,1815719.0,,2024-09-21T00:00:00,,,2024,,,,4092120242041241010,,,,,,"LIANG, HONG C",2024-09-21
,[1818183],N,0.0,,,,,,,202409219684674136,,,,,C00865444,WINSENATE,O,,,https://docquery.fec.gov/csv/183/1818183.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409219684674138,FEC-1818183,https://docquery.fec.gov/dcdev/posted/1818183.fec,1818183.0,NOTICE,F24,,https://docquery.fec.gov/cgi-bin/forms/C00865444/1818183/,False,e-file,True,1818183.0,,,,3.0,,https://docquery.fec.gov/pdf/136/202409219684674136/202409219684674136.pdf,1818183.0,,2024-09-21T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092120242041245018,,,,,,"LAMBE, REBECCA",2024-09-21
,[1818176],T,0.0,,,,,,,202409219684674091,,,463.49,26.0,C00839456,SENATE IMPACT 2024,S,2024-09-21,2024-07-01,https://docquery.fec.gov/csv/176/1818176.csv,2024,0.0,0.0,TERMINATION REPORT 2024,,,,202409219684674097,FEC-1818176,https://docquery.fec.gov/dcdev/posted/1818176.fec,1818176.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/forms/C00839456/1818176/,False,e-file,True,1818176.0,,S,,7.0,,https://docquery.fec.gov/pdf/091/202409219684674091/202409219684674091.pdf,1818176.0,P,2024-09-21T00:00:00,TER,TERMINATION REPORT,2024,,,,4092120242041243000,,437.49,,,0.0,"ZAMORE, JUDITH",2024-09-21
,[1818184],N,0.0,,,,,,,202409219684674139,,,,,C00859355,BATTLEGROUND NEW YORK,O,,,https://docquery.fec.gov/csv/184/1818184.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409219684674140,FEC-1818184,https://docquery.fec.gov/dcdev/posted/1818184.fec,1818184.0,NOTICE,F24,,https://docquery.fec.gov/cgi-bin/forms/C00859355/1818184/,False,e-file,True,1818184.0,,,,2.0,,https://docquery.fec.gov/pdf/139/202409219684674139/202409219684674139.pdf,1818184.0,,2024-09-21T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092120242041245019,,,,,,"SEAY, GABRIELLE",2024-09-21
,[1818198],N,0.0,,,,,,,202409219684674184,,,0.0,2739.01,C00849984,BRANDON GRIFFIN FOR US SENATE,S,2024-03-31,2023-09-17,https://docquery.fec.gov/csv/198/1818198.csv,2024,0.0,0.0,APRIL QUARTERLY 2024,,,,202409219684674189,FEC-1818198,https://docquery.fec.gov/dcdev/posted/1818198.fec,1818198.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/forms/C00849984/1818198/,False,e-file,True,1818198.0,,S,,6.0,,https://docquery.fec.gov/pdf/184/202409219684674184/202409219684674184.pdf,1818198.0,P,2024-09-21T00:00:00,Q1,APRIL QUARTERLY,2024,,,,4092120242041243003,,0.0,,,2739.01,"GRIFFIN, BRANDON JAMES",2024-09-21
,[1818174],N,0.0,,,,,,,202409219684674070,,,479042.95,423785.23,C00150367,NATIONAL VENTURE CAPITAL ASSOCIATION VENTUREPAC,Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/174/1818174.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409219684674085,FEC-1818174,https://docquery.fec.gov/dcdev/posted/1818174.fec,1818174.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00150367/1818174/,False,e-file,True,1818174.0,,,,16.0,,https://docquery.fec.gov/pdf/070/202409219684674070/202409219684674070.pdf,1818174.0,P,2024-09-21T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092120242041246124,,55507.72,,,250.0,"MURPHY, JONAS MR.",2024-09-21
,[1818185],N,0.0,,,,,,,202409219684674141,,,,,C00053553,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND,Q,,,https://docquery.fec.gov/csv/185/1818185.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409219684674144,FEC-1818185,https://docquery.fec.gov/dcdev/posted/1818185.fec,1818185.0,NOTICE,F24,,https://docquery.fec.gov/cgi-bin/forms/C00053553/1818185/,False,e-file,True,1818185.0,,,,4.0,,https://docquery.fec.gov/pdf/141/202409219684674141/202409219684674141.pdf,1818185.0,,2024-09-21T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092120242041245020,,,,,,"FUNDERBURK, ZAC",2024-09-21
,[1818169],N,0.0,,,,,,,202409219684673838,,,2874.59,3943.56,C00836866,VOTERS DESERVE BETTER,O,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/169/1818169.csv,2024,7101.25,0.0,SEPTEMBER MONTHLY 2024,,,,202409219684673855,FEC-1818169,https://docquery.fec.gov/dcdev/posted/1818169.fec,1818169.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00836866/1818169/,False,e-file,True,1818169.0,,,,18.0,,https://docquery.fec.gov/pdf/838/202409219684673838/202409219684673838.pdf,1818169.0,P,2024-09-21T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092120242041246120,,5595.9,,,6664.87,"COPP, VONA L.",2024-09-21
,[1818188],N,0.0,SOMERS POINT,TD BANK,NJ,399 NEW ROAD,,08244,202409219684674152,,,,,C00889675,KINGDOMWORKSPAC LLC,V,,,https://docquery.fec.gov/csv/188/1818188.csv,2024,,,Statement of Organization 2024,,,,202409219684674156,FEC-1818188,https://docquery.fec.gov/dcdev/posted/1818188.fec,1818188.0,STATEMENT,F1,,https://docquery.fec.gov/cgi-bin/forms/C00889675/1818188/,False,e-file,True,1818188.0,,,,5.0,,https://docquery.fec.gov/pdf/152/202409219684674152/202409219684674152.pdf,1818188.0,,2024-09-21T00:00:00,,,2024,,,,4092120242041241007,,,,,,"POLT, ROBERT MR.",2024-09-21
,[1818177],T,0.0,,,,,,,202409219684674098,,,495.26,52.26,C00836858,SENATE PA & NV,N,2024-09-21,2024-07-01,https://docquery.fec.gov/csv/177/1818177.csv,2024,0.0,0.0,TERMINATION REPORT 2024,,,,202409219684674103,FEC-1818177,https://docquery.fec.gov/dcdev/posted/1818177.fec,1818177.0,REPORT,F3,,https://docquery.fec.gov/cgi-bin/forms/C00836858/1818177/,False,e-file,True,1818177.0,,,,6.0,,https://docquery.fec.gov/pdf/098/202409219684674098/202409219684674098.pdf,1818177.0,P,2024-09-21T00:00:00,TER,TERMINATION REPORT,2024,,,,4092120242041243001,,443.0,,,0.0,"ZAMORE, JUDITH",2024-09-21
,"[1818172, 1818173]",A,1.0,,,,,,,202409219684674008,,,431481.28,354095.8,C00033134,COLORADO REPUBLICAN COMMITTEE,Y,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/173/1818173.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409219684674069,FEC-1818173,https://docquery.fec.gov/dcdev/posted/1818173.fec,1818173.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00033134/1818173/,False,e-file,True,1818173.0,,,,62.0,,https://docquery.fec.gov/pdf/008/202409219684674008/202409219684674008.pdf,1818172.0,P,2024-09-21T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092120242041246123,,103889.03,,,26503.55,"BJORKLUND, TOM",2024-09-21
,[1818197],N,0.0,,,,,,,202409219684674183,,,,,C00025254,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,Y,,,https://docquery.fec.gov/csv/197/1818197.csv,2024,,,24-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409219684674183,FEC-1818197,https://docquery.fec.gov/dcdev/posted/1818197.fec,1818197.0,NOTICE,F24,,https://docquery.fec.gov/cgi-bin/forms/C00025254/1818197/,False,e-file,True,1818197.0,,,,1.0,,https://docquery.fec.gov/pdf/183/202409219684674183/202409219684674183.pdf,1818197.0,,2024-09-21T00:00:00,24,24-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092120242041245026,,,,,,"MANNEY, LEAH",2024-09-21
,[1818195],N,0.0,,,,,,,202409219684674178,,,,,C00747121,RED SENATE,O,,,https://docquery.fec.gov/csv/195/1818195.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409219684674178,FEC-1818195,https://docquery.fec.gov/dcdev/posted/1818195.fec,1818195.0,NOTICE,F24,,https://docquery.fec.gov/cgi-bin/forms/C00747121/1818195/,False,e-file,True,1818195.0,,,,1.0,,https://docquery.fec.gov/pdf/178/202409219684674178/202409219684674178.pdf,1818195.0,,2024-09-21T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092120242041245025,,,,,,"HANNA, MICHAEL",2024-09-21
,"[1555221, 1555226, 1556920, 1811574, 1818190]",A,4.0,,,,,,,202409219684674161,P40007155,"DUNN, ADAM",,,P40007155,,,,,https://docquery.fec.gov/csv/190/1818190.csv,2024,,,Statement of Candidacy 2024,,,2024.0,202409219684674162,FEC-1818190,https://docquery.fec.gov/dcdev/posted/1818190.fec,1818190.0,STATEMENT,F2,,https://docquery.fec.gov/cgi-bin/forms/P40007155/1818190/,False,e-file,True,1818190.0,,P,,2.0,REP,https://docquery.fec.gov/pdf/161/202409219684674161/202409219684674161.pdf,1811574.0,,2024-09-21T00:00:00,,,2024,,,US,4092120242041242000,,,,,,"DUNN, ADAM",2024-09-21
,[1817008],N,0.0,,,,,,,202409209675572373,,,919784.1,709375.78,C00513549,PHILLIPS 66 PAC,Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/008/1817008.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675572557,FEC-1817008,https://docquery.fec.gov/dcdev/posted/1817008.fec,1817008.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00513549/1817008/,False,e-file,True,1817008.0,,,,185.0,,https://docquery.fec.gov/pdf/373/202409209675572373/202409209675572373.pdf,1817008.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099105,,265033.0,,,54624.68,"BROUSSARD, ALEX JORDAN",2024-09-20
,[1817906],N,0.0,,,,,,,202409209683522768,,,936937.57,919400.98,C00016899,OHIO DEMOCRATIC PARTY - FEDERAL,Y,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/906/1817906.csv,2024,111937.56,0.0,SEPTEMBER MONTHLY 2024,,,,202409209683523120,FEC-1817906,https://docquery.fec.gov/dcdev/posted/1817906.fec,1817906.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00016899/1817906/,False,e-file,True,1817906.0,,,,353.0,,https://docquery.fec.gov/pdf/768/202409209683522768/202409209683522768.pdf,1817906.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099911,,1635336.09,,,1617799.5,"FROST-BROOKS, PATRICIA",2024-09-20
,[1817548],N,0.0,ATLANTA,GREENLIGHT,GA,303 PEACHTREE STREET NE,,30308,202409209675672198,,,,,C00889626,AMERICANS FOR AN OKAY TOMORROW,O,,,https://docquery.fec.gov/csv/548/1817548.csv,2024,,,Statement of Organization 2024,,,,202409209675672201,FEC-1817548,https://docquery.fec.gov/dcdev/posted/1817548.fec,1817548.0,STATEMENT,F1,,https://docquery.fec.gov/cgi-bin/forms/C00889626/1817548/,False,e-file,True,1817548.0,,,,4.0,,https://docquery.fec.gov/pdf/198/202409209675672198/202409209675672198.pdf,1817548.0,,2024-09-20T00:00:00,,,2024,,,,4092020242041093019,,,,,,"RUDOLPH, JOHN",2024-09-20
,[1817530],N,0.0,,,,,,,202409209675669031,,,22634.18,21152.27,C00785899,EQUALITY PROJECT PAC,W,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/530/1817530.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675669037,FEC-1817530,https://docquery.fec.gov/dcdev/posted/1817530.fec,1817530.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00785899/1817530/,False,e-file,True,1817530.0,,,,7.0,,https://docquery.fec.gov/pdf/031/202409209675669031/202409209675669031.pdf,1817530.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099585,,1529.95,,,48.04,"MAY, JENNIFER",2024-09-20
,[1818077],N,0.0,,,,,,,202409209684601834,,,,,C00865444,WINSENATE,O,,,https://docquery.fec.gov/csv/077/1818077.csv,2024,,,48-HOUR REPORT OF INDEPENDENT EXPENDITURES 2024,,,,202409209684601836,FEC-1818077,https://docquery.fec.gov/dcdev/posted/1818077.fec,1818077.0,NOTICE,F24,,https://docquery.fec.gov/cgi-bin/forms/C00865444/1818077/,False,e-file,True,1818077.0,,,,3.0,,https://docquery.fec.gov/pdf/834/202409209684601834/202409209684601834.pdf,1818077.0,,2024-09-20T00:00:00,48,48-HOUR REPORT OF INDEPENDENT EXPENDITURES,2024,,,,4092120242041245009,,,,,,"LAMBE, REBECCA",2024-09-21
,[1817287],N,0.0,,,,,,,202409209675619965,,,47052.55,75234.85,C00279216,IHEARTMEDIA INC. PAC,Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/287/1817287.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675620081,FEC-1817287,https://docquery.fec.gov/dcdev/posted/1817287.fec,1817287.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00279216/1817287/,False,e-file,True,1817287.0,,,,117.0,,https://docquery.fec.gov/pdf/965/202409209675619965/202409209675619965.pdf,1817287.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099370,,12.17,,,28194.47,"HAMILTON, SCOTT",2024-09-20
,[1817974],N,0.0,,,,,,,202409209684216438,,,79394.41,81769.41,C00830208,GE HEALTHCARE TECHNOLOGIES INC. PAC,Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/974/1817974.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209684216471,FEC-1817974,https://docquery.fec.gov/dcdev/posted/1817974.fec,1817974.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00830208/1817974/,False,e-file,True,1817974.0,,,,34.0,,https://docquery.fec.gov/pdf/438/202409209684216438/202409209684216438.pdf,1817974.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099971,,11500.0,,,13875.0,"DUNCAN, MONICA",2024-09-20
,[1818147],N,0.0,,,,,,,202409209684659290,,,105387559.55,109535153.12,C00495028,HMP,W,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/147/1818147.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209684669844,FEC-1818147,https://docquery.fec.gov/dcdev/posted/1818147.fec,1818147.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00495028/1818147/,False,e-file,True,1818147.0,,,,10555.0,,https://docquery.fec.gov/pdf/290/202409209684659290/202409209684659290.pdf,1818147.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092120242041246099,,7433746.6,,,11581340.17,"WOLFF, BRIAN",2024-09-21
,"[1789644, 1818013]",A,1.0,,,,,,,202409209684592662,,,3769.25,33651.25,C00860411,FREEDOM FOR THE PEOPLE PAC,O,2024-05-31,2024-05-01,https://docquery.fec.gov/csv/013/1818013.csv,2024,0.0,0.0,JUNE MONTHLY 2024,,,,202409209684592670,FEC-1818013,https://docquery.fec.gov/dcdev/posted/1818013.fec,1818013.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00860411/1818013/,False,e-file,True,1818013.0,,,,9.0,,https://docquery.fec.gov/pdf/662/202409209684592662/202409209684592662.pdf,1789644.0,P,2024-09-20T00:00:00,M6,JUNE MONTHLY,2024,,,,4092020242041100004,,118.0,,,30000.0,"MELE, STEVEN",2024-09-20
,[1817820],N,0.0,,,,,,,202409209675856815,,,460848.86,369742.94,C00108613,INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE,Y,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/820/1817820.csv,2024,100753.81,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675857161,FEC-1817820,https://docquery.fec.gov/dcdev/posted/1817820.fec,1817820.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00108613/1817820/,False,e-file,True,1817820.0,,,,347.0,,https://docquery.fec.gov/pdf/815/202409209675856815/202409209675856815.pdf,1817820.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099839,,1350107.82,,,1259001.9,"COLBERT, DAYNA",2024-09-20
,[1817644],N,0.0,,,,,,,202409209675688022,,,17117.92,17105.92,C00859520,TRANSMISSION PAC,N,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/644/1817644.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675688026,FEC-1817644,https://docquery.fec.gov/dcdev/posted/1817644.fec,1817644.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00859520/1817644/,False,e-file,True,1817644.0,,,,5.0,,https://docquery.fec.gov/pdf/022/202409209675688022/202409209675688022.pdf,1817644.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099683,,12.0,,,0.0,"SNOW, ANDREW JOSEPH",2024-09-20
,"[1778602, 1781027, 1788759, 1789804, 1789953, 1808224, 1817704]",A,6.0,,,,,,,202409209675780441,,,263240.15,266106.43,C00640300,ACTIVATE AMERICA,O,2024-03-31,2024-03-01,https://docquery.fec.gov/csv/704/1817704.csv,2024,6907.88,0.0,APRIL MONTHLY 2024,,,,202409209675780749,FEC-1817704,https://docquery.fec.gov/dcdev/posted/1817704.fec,1817704.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00640300/1817704/,False,e-file,True,1817704.0,,,,309.0,,https://docquery.fec.gov/pdf/441/202409209675780441/202409209675780441.pdf,1808224.0,P,2024-09-20T00:00:00,M4,APRIL MONTHLY,2024,,,,4092020242041099737,,62736.33,,,65602.61,"OWENS, STACY",2024-09-20
,[1817733],N,0.0,,,,,,,202409209675783952,,,9070239.2,9266573.61,C00344234,PAC TO THE FUTURE,Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/733/1817733.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675786178,FEC-1817733,https://docquery.fec.gov/dcdev/posted/1817733.fec,1817733.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00344234/1817733/,False,e-file,True,1817733.0,,,,2227.0,,https://docquery.fec.gov/pdf/952/202409209675783952/202409209675783952.pdf,1817733.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099763,,310878.51,,,507212.92,"PELOSI, PAUL",2024-09-20
,[1817201],N,0.0,,,,,,,202409209675610672,,,84901.88,118286.18,C00597062,BUDDY PAC,Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/201/1817201.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675610687,FEC-1817201,https://docquery.fec.gov/dcdev/posted/1817201.fec,1817201.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00597062/1817201/,False,e-file,True,1817201.0,,,,16.0,,https://docquery.fec.gov/pdf/672/202409209675610672/202409209675610672.pdf,1817201.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099291,,1865.7,,,35250.0,"KILGORE, PAUL",2024-09-20
,[1817623],N,0.0,,,,,,,202409209675683928,,,8758.7,3625.5,C00812586,FIRST IN TEXAS PAC,N,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/623/1817623.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675683936,FEC-1817623,https://docquery.fec.gov/dcdev/posted/1817623.fec,1817623.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00812586/1817623/,False,e-file,True,1817623.0,,,,9.0,,https://docquery.fec.gov/pdf/928/202409209675683928/202409209675683928.pdf,1817623.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099666,,5133.2,,,0.0,"MARTIN, STEVEN",2024-09-20
,"[1811932, 1817607]",A,1.0,,,,,,,202409209675683262,,,45554.03,50050.63,C00744185,NUESTRO PAC,O,2024-07-31,2024-07-01,https://docquery.fec.gov/csv/607/1817607.csv,2024,10000.0,0.0,AUGUST MONTHLY 2024,,,,202409209675683273,FEC-1817607,https://docquery.fec.gov/dcdev/posted/1817607.fec,1817607.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00744185/1817607/,False,e-file,True,1817607.0,,,,12.0,,https://docquery.fec.gov/pdf/262/202409209675683262/202409209675683262.pdf,1811932.0,P,2024-09-20T00:00:00,M8,AUGUST MONTHLY,2024,,,,4092020242041099652,,21371.35,,,25867.95,"MELE, STEVEN",2024-09-20
,[1817744],N,0.0,,,,,,,202409209675787612,,,624359.88,658886.28,C00326595,CAPITAL ONE FINANCIAL CORP. ASSOC. POLITICAL FUND,Q,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/744/1817744.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675787715,FEC-1817744,https://docquery.fec.gov/dcdev/posted/1817744.fec,1817744.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00326595/1817744/,False,e-file,True,1817744.0,,,,104.0,,https://docquery.fec.gov/pdf/612/202409209675787612/202409209675787612.pdf,1817744.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099774,,28150.38,,,62676.78,"TALLMAN, VINCENT R.",2024-09-20
,[1817843],N,0.0,,,,,,,202409209675859921,,,166991.53,158944.53,C00492116,COOPERATIVE OF AMERICAN PHYSICIANS INDEPENDENT EXPENDITURE COMMITTEE,O,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/843/1817843.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675859927,FEC-1817843,https://docquery.fec.gov/dcdev/posted/1817843.fec,1817843.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00492116/1817843/,False,e-file,True,1817843.0,,,,7.0,,https://docquery.fec.gov/pdf/921/202409209675859921/202409209675859921.pdf,1817843.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099860,,13000.0,,,4953.0,"OLSON, MEAGAN",2024-09-20
,[1816997],N,0.0,,,,,,,202409209675571602,,,12614.61,16495.39,C00873281,ATOMIC CREDIT UNION POLITICAL ACTION COMMITTEE (ACU PAC),N,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/997/1816997.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675571613,FEC-1816997,https://docquery.fec.gov/dcdev/posted/1816997.fec,1816997.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00873281/1816997/,False,e-file,True,1816997.0,,,,12.0,,https://docquery.fec.gov/pdf/602/202409209675571602/202409209675571602.pdf,1816997.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099094,,750.0,,,4630.78,"POSEY, D. KRISTIN",2024-09-20
,[1817357],N,0.0,,,,,,,202409209675636428,,,8719.75,33044.93,C00746735,HMS SCRAP PAC,N,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/357/1817357.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675636444,FEC-1817357,https://docquery.fec.gov/dcdev/posted/1817357.fec,1817357.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00746735/1817357/,False,e-file,True,1817357.0,,,,17.0,,https://docquery.fec.gov/pdf/428/202409209675636428/202409209675636428.pdf,1817357.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099433,,14174.82,,,38500.0,"NISSEN, MELISSA",2024-09-20
,"[1208622, 1814893, 1817169]",A,2.0,HOUSTON,JP MORGAN CHASE N.A.,TX,712 MAIN STREET,FLOOR 7,77002,202409209675604400,,,,,C00670141,GLENFARNE ENERGY TRANSITION POLITICAL ACTION COMMITTEE,N,,,https://docquery.fec.gov/csv/169/1817169.csv,2024,,,Statement of Organization 2024,,,,202409209675604403,FEC-1817169,https://docquery.fec.gov/dcdev/posted/1817169.fec,1817169.0,STATEMENT,F1,,https://docquery.fec.gov/cgi-bin/forms/C00670141/1817169/,False,e-file,True,1817169.0,,,,4.0,,https://docquery.fec.gov/pdf/400/202409209675604400/202409209675604400.pdf,1814893.0,,2024-09-20T00:00:00,,,2024,,,,4092020242041093004,,,,,,"HIRSCHFIELD, MICAH",2024-09-20
,[1817697],N,0.0,,,,,,,202409209675780263,,,6100.0,8600.0,C00814798,EMPOWER PHARMACY PAC,N,2024-08-31,2024-08-01,https://docquery.fec.gov/csv/697/1817697.csv,2024,0.0,0.0,SEPTEMBER MONTHLY 2024,,,,202409209675780268,FEC-1817697,https://docquery.fec.gov/dcdev/posted/1817697.fec,1817697.0,REPORT,F3X,,https://docquery.fec.gov/cgi-bin/forms/C00814798/1817697/,False,e-file,True,1817697.0,,,,6.0,,https://docquery.fec.gov/pdf/263/202409209675780263/202409209675780263.pdf,1817697.0,P,2024-09-20T00:00:00,M9,SEPTEMBER MONTHLY,2024,,,,4092020242041099729,,-2500.0,,,0.0,"PORE, ROBERT DAVID",2024-09-20
